	locus_tag
390	MtrunA17_Chr1g0147671
391	MtrunA17_Chr1g0147681
392	MtrunA17_Chr1g0147691
393	MtrunA17_Chr1g0147701
394	MtrunA17_Chr1g0147711
395	MtrunA17_Chr1g0147721
396	MtrunA17_Chr1g0147731
397	MtrunA17_Chr1g0147741
398	MtrunA17_Chr1g0147751
399	MtrunA17_Chr1g0147761
400	MtrunA17_Chr1g0147771
401	MtrunA17_Chr1g0147781
402	MtrunA17_Chr1g0147791
403	MtrunA17_Chr1g0147801
404	MtrunA17_Chr1g0147811
405	MtrunA17_Chr1g0147821
406	MtrunA17_Chr1g0147831
407	MtrunA17_Chr1g0147841
408	MtrunA17_Chr1g0147851
409	MtrunA17_Chr1g0147861
410	MtrunA17_Chr1g0147871
411	MtrunA17_Chr1g0147881
412	MtrunA17_Chr1g0147901
413	MtrunA17_Chr1g0147911
414	MtrunA17_Chr1g0147921
415	MtrunA17_Chr1g0147931
416	MtrunA17_Chr1g0147941
417	MtrunA17_Chr1g0147951
418	MtrunA17_Chr1g0147961
419	MtrunA17_Chr1g0147971
420	MtrunA17_Chr1g0147981
421	MtrunA17_Chr1g0148001
422	MtrunA17_Chr1g0148011
423	MtrunA17_Chr1g0148021
424	MtrunA17_Chr1g0148031
425	MtrunA17_Chr1g0148041
426	MtrunA17_Chr1g0148051
427	MtrunA17_Chr1g0148061
428	MtrunA17_Chr1g0148071
429	MtrunA17_Chr1g0148081
430	MtrunA17_Chr1g0148091
431	MtrunA17_Chr1g0148101
432	MtrunA17_Chr1g0148111
433	MtrunA17_Chr1g0148121
434	MtrunA17_Chr1g0148131
435	MtrunA17_Chr1g0148141
436	MtrunA17_Chr1g0148151
437	MtrunA17_Chr1g0148161
438	MtrunA17_Chr1g0148181
439	MtrunA17_Chr1g0148191
440	MtrunA17_Chr1g0148201
441	MtrunA17_Chr1g0148211
442	MtrunA17_Chr1g0148221
443	MtrunA17_Chr1g0148231
444	MtrunA17_Chr1g0148241
445	MtrunA17_Chr1g0148251
446	MtrunA17_Chr1g0148261
447	MtrunA17_Chr1g0148271
448	MtrunA17_Chr1g0148281
449	MtrunA17_Chr1g0148291
450	MtrunA17_Chr1g0148301
451	MtrunA17_Chr1g0148311
452	MtrunA17_Chr1g0148321
453	MtrunA17_Chr1g0148341
454	MtrunA17_Chr1g0148351
455	MtrunA17_Chr1g0148361
456	MtrunA17_Chr1g0148371
457	MtrunA17_Chr1g0148381
458	MtrunA17_Chr1g0148391
459	MtrunA17_Chr1g0148401
460	MtrunA17_Chr1g0148411
461	MtrunA17_Chr1g0148421
462	MtrunA17_Chr1g0148431
463	MtrunA17_Chr1g0148441
464	MtrunA17_Chr1g0148451
465	MtrunA17_Chr1g0148461
466	MtrunA17_Chr1g0148471
467	MtrunA17_Chr1g0148481
468	MtrunA17_Chr1g0148491
469	MtrunA17_Chr1g0148501
470	MtrunA17_Chr1g0148511
471	MtrunA17_Chr1g0148521
472	MtrunA17_Chr1g0148531
473	MtrunA17_Chr1g0148541
474	MtrunA17_Chr1g0148561
475	MtrunA17_Chr1g0148571
476	MtrunA17_Chr1g0148581
477	MtrunA17_Chr1g0148591
478	MtrunA17_Chr1g0148601
479	MtrunA17_Chr1g0148611
480	MtrunA17_Chr1g0148621
481	MtrunA17_Chr1g0148631
482	MtrunA17_Chr1g0148641
483	MtrunA17_Chr1g0148651
484	MtrunA17_Chr1g0148661
485	MtrunA17_Chr1g0148671
486	MtrunA17_Chr1g0148681
487	MtrunA17_Chr1g0148691
488	MtrunA17_Chr1g0148701
489	MtrunA17_Chr1g0148711
490	MtrunA17_Chr1g0148721
491	MtrunA17_Chr1g0148731
492	MtrunA17_Chr1g0148741
493	MtrunA17_Chr1g0148751
494	MtrunA17_Chr1g0148761
495	MtrunA17_Chr1g0148771
496	MtrunA17_Chr1g0148781
497	MtrunA17_Chr1g0148791
498	MtrunA17_Chr1g0148801
499	MtrunA17_Chr1g0148811
500	MtrunA17_Chr1g0148821
501	MtrunA17_Chr1g0148831
502	MtrunA17_Chr1g0148841
503	MtrunA17_Chr1g0148851
504	MtrunA17_Chr1g0148871
505	MtrunA17_Chr1g0148881
506	MtrunA17_Chr1g0148891
507	MtrunA17_Chr1g0148901
508	MtrunA17_Chr1g0148911
509	MtrunA17_Chr1g0148921
510	MtrunA17_Chr1g0148931
511	MtrunA17_Chr1g0148941
512	MtrunA17_Chr1g0148951
513	MtrunA17_Chr1g0148961
514	MtrunA17_Chr1g0148971
515	MtrunA17_Chr1g0148981
516	MtrunA17_Chr1g0148991
517	MtrunA17_Chr1g0149001
518	MtrunA17_Chr1g0149011
519	MtrunA17_Chr1g0149051
520	MtrunA17_Chr1g0149061
521	MtrunA17_Chr1g0149071
522	MtrunA17_Chr1g0149081
